Q #,Scenario,,Question,,,Options,,,,,Correct Answer,,,,,,,,,,,Rationale,,,,,HIPAA Section,Workforce Group,,HIPAA Rule,,,,,,,HIPAA Topic Name,,,,,,,,,Description of Topic (OCR Audited Focus),,,,,
588,,"Scenario: Workforce Clearance: The HR department is implementing the ""Workforce Clearance Procedure"" addressable specification for new clinical hires.",Termination procedures (Addressable) specifically include recovery of access control devices and:,,,A. Retraining the employee.B. Deactivation of information system access.C. Updating the Notice of Privacy Practices.D. Providing a copy of the exit interview to HHS.,,,,,,,,B. Deactivation of information system access.,,,Termination procedures include deactivating accounts and recovering devices.,,,,,,,,§ 164.308(a)(3)(ii)(C),,,"IT Staff, Admin",,,,,,,Security Rule,,,,Workforce security,,,Procedures for ending access when employment ends.,,,,,,,,,
589,,"Scenario: Workforce Clearance: The HR department is implementing the ""Workforce Clearance Procedure"" addressable specification for new clinical hires.","""Workforce members"" includes entity employees, students, volunteers, and:",,,A. All medical examiners.B. On-site contractors.C. Plan sponsors.D. Health insurance issuers.,,,,,,,,B. On-site contractors.,,,"Workforce means employees, volunteers, trainees, and others under the direct control of the CE, including on-site contractors.",,,,,,,,§ 160.103,,,All Staff,,,,,,,General Requirement,,,,Definitions,,,"Key definitions, including workforce.",,,,,,,,,
590,,"Scenario: Workforce Clearance: The HR department is implementing the ""Workforce Clearance Procedure"" addressable specification for new clinical hires.","The standard for ""Authorization and/or Supervision"" (Addressable) applies to workforce members who:",,,A. Only work from home.B. Work with ePHI or in locations where it might be accessed.C. Are victims of a crime.D. Conduct de-identification.,,,,,,,,B. Work with ePHI or in locations where it might be accessed.,,,This specification applies to those who work with ePHI or in locations where it might be accessed.,,,,,,,,§ 164.308(a)(3)(ii)(A),,,Management,,,,,,,Security Rule,,,,Workforce security,,,Supervision of workforce in sensitive locations.,,,,,,,,,
591,,Scenario: Facility Maintenance: A facility manager replaces the biometric scanner on the main server room door. The Security Official must ensure this is documented properly.,The requirement to document repairs and modifications to the physical components of a facility related to security is:,,,A. Facility Security Plan.B. Maintenance Records.C. Contingency Operations.D. Audit Controls.,,,,,,,,B. Maintenance Records.,,,Maintenance Records (Addressable) requires policies to document repairs/modifications to physical components related to security.,,,,,,,,§ 164.310(a)(2)(iv),,,"IT Staff, Admin",,,,,,,Security Rule,,,,Facility access controls,,,Tracking modifications to security hardware.,,,,,,,,,
592,,Scenario: Facility Maintenance: A facility manager replaces the biometric scanner on the main server room door. The Security Official must ensure this is documented properly.,"Examples of physical components requiring maintenance records include hardware, walls, doors, and:",,,A. Passwords.B. Locks.C. Training logs.D. Cloud servers.,,,,,,,,B. Locks.,,,"The standard explicitly lists hardware, walls, doors, and locks as examples.",,,,,,,,§ 164.310(a)(2)(iv),,,"IT Staff, Admin",,,,,,,Security Rule,,,,Facility access controls,,,Examples of facility security components.,,,,,,,,,
593,,Scenario: Facility Maintenance: A facility manager replaces the biometric scanner on the main server room door. The Security Official must ensure this is documented properly.,Which standard requires policies to limit physical access to systems while ENSURING properly authorised access is allowed?,,,A. Workstation Security.B. Facility Access Controls.C. Workforce Security.D. Transmission Security.,,,,,,,,B. Facility Access Controls.,,,Facility Access Controls require limiting physical access while ensuring properly authorised access.,,,,,,,,§ 164.310(a)(1),,,"Management, All Staff",,,,,,,Security Rule,,,,Facility access controls,,,Physical safeguards for facility systems.,,,,,,,,,
594,,Scenario: Facility Maintenance: A facility manager replaces the biometric scanner on the main server room door. The Security Official must ensure this is documented properly.,"""Facility"" is defined as the physical premises and:",,,A. The internal network only.B. The interior and exterior of a building(s).C. All remote home offices.D. The cloud provider's data center.,,,,,,,,B. The interior and exterior of a building(s).,,,Facility means the physical premises and the interior and exterior of a building(s).,,,,,,,,§ 164.304,,,All Staff,,,,,,,Security Rule,,,,Security program – general duties,,,Definition of facility.,,,,,,,,,
595,,Scenario: Facility Maintenance: A facility manager replaces the biometric scanner on the main server room door. The Security Official must ensure this is documented properly.,"The ""Facility Security Plan"" (Addressable) involves policies to safeguard the facility and equipment from:",,,"A. Improper medical coding.B. Unauthorised physical access, tampering, and theft.C. System failure.D. Natural disasters only.",,,,,,,,"B. Unauthorised physical access, tampering, and theft.",,,"This specification involves safeguarding equipment from unauthorised physical access, tampering, and theft.",,,,,,,,§ 164.310(a)(2)(ii),,,"Management, IT Staff",,,,,,,Security Rule,,,,Facility access controls,,,Physical safeguards for hardware and facilities.,,,,,,,,,
596,,Scenario: Complaints and Sanctions: An individual files a formal complaint regarding a clinic’s privacy practices. Management discovers a clinical employee intentionally ignored a policy.,The organization is required to document all complaints received and their:,,,"A. Cost to the organization.B. Disposition, if any.C. Identification in the media.D. Related NPI.",,,,,,,,"B. Disposition, if any.",,,A CE must document all complaints received and their disposition.,,,,,,,,§ 164.530(d)(2),,,"Management, Admin",,,,,,,Privacy Rule,,,,Complaint process and documentation,,,Requirement to document and resolve complaints.,,,,,,,,,
597,,Scenario: Complaints and Sanctions: An individual files a formal complaint regarding a clinic’s privacy practices. Management discovers a clinical employee intentionally ignored a policy.,The requirement to apply appropriate sanctions against workforce members who fail to comply with policies is a:,,,A. Addressable implementation specification.B. Required implementation specification.C. Mandatory technical safeguard.D. Whistleblower protection.,,,,,,,,B. Required implementation specification.,,,The Sanction Policy is a required implementation specification under the Security Management Process.,,,,,,,,§ 164.308(a)(1)(ii)(C),,,Management,,,,,,,Security Rule,,,,Security sanction policy,,,Requirement to apply sanctions for non-compliance.,,,,,,,,,
598,,Scenario: Complaints and Sanctions: An individual files a formal complaint regarding a clinic’s privacy practices. Management discovers a clinical employee intentionally ignored a policy.,The organization is PROHIBITED from taking retaliatory action against an individual for:,,,A. Requesting a summary health record.B. Filing a complaint under the HIPAA Rules.C. Failing to pay out-of-pocket.D. Opting into fundraising communications.,,,,,,,,B. Filing a complaint under the HIPAA Rules.,,,A CE may not intimidate or take retaliatory action against an individual for exercising a right or filing a complaint.,,,,,,,,§ 164.530(g),,,"All Staff, Management",,,,,,,Privacy Rule,,,,Antiretaliation,,,Prohibition on retaliatory acts for exercising HIPAA rights.,,,,,,,,,
599,,Scenario: Complaints and Sanctions: An individual files a formal complaint regarding a clinic’s privacy practices. Management discovers a clinical employee intentionally ignored a policy.,"""Mitigation"" (Standard) requires the entity to mitigate harmful effects of a violation committed by:",,,A. Only the CE workforce.B. Either the covered entity or its business associate.C. Only third-party hackers.D. Only senior management.,,,,,,,,B. Either the covered entity or its business associate.,,,The entity must mitigate harmful effects of a violation by the entity or its business associate.,,,,,,,,§ 164.530(f),,,Management,,,,,,,Privacy Rule,,,,Mitigation of harmful effects,,,Obligation to mitigate known harmful effects of PHI misuse.,,,,,,,,,
600,,Scenario: Complaints and Sanctions: An individual files a formal complaint regarding a clinic’s privacy practices. Management discovers a clinical employee intentionally ignored a policy.,"Does the sanction standard apply to a workforce member who acts as a ""whistleblower"" under § 164.502(j)?",,,"A. Yes, rules apply to everyone.B. No, the sanction standard does not apply to whistleblowers or crime victims.C. Only if the whistleblower is an on-site contractor.D. Only if the whistleblower notifies the media first.",,,,,,,,"B. No, the sanction standard does not apply to whistleblowers or crime victims.",,,The sanction standard does not apply to actions that meet the whistleblower or crime victim conditions.,,,,,,,,§ 164.530(e)(1),,,"Management, All Staff",,,,,,,Privacy Rule,,,,Privacy sanctions,,,Exceptions to the sanction policy requirement.,,,,,,,,,
